,Home_Team,Away_Team,Result,Link,Season,Round,League,Elo_home,Elo_away,Home_Goals,Away_Goals,Outcome,Home_Win,Home_Attack,Away_Attack,Home_Team_Outcome_sum_10,Away_Team_Outcome_sum_10
1177,Nice,Stade Brestois,2-1,https://www.besoccer.com/match/nice/stade-brestois-29/2022,2022,9,ligue_1,72,65,2.0,1.0,1.0,1.0,1.125,0.7272727272727273,1.0,2.0
1178,Stade Rennais,PSG,2-0,https://www.besoccer.com/match/stade-rennes/paris-saint-germain-fc/2022,2022,9,ligue_1,78,93,2.0,0.0,1.0,1.0,1.2037037037037037,1.9021739130434783,1.0,-4.0
1179,Angers SCO,Metz,3-2,https://www.besoccer.com/match/angers-sco/metz/2022,2022,9,ligue_1,74,71,3.0,2.0,1.0,1.0,0.9166666666666666,0.7524752475247525,1.0,1.0
1180,Lorient,Clermont,1-1,https://www.besoccer.com/match/lorient/clermont-foot/2022,2022,9,ligue_1,71,68,1.0,1.0,0.0,0.0,0.8318042813455656,0.9232954545454545,3.0,1.0
1181,Monaco,Girondins Bordeaux,3-0,https://www.besoccer.com/match/monaco/bordeaux/2022,2022,9,ligue_1,85,74,3.0,0.0,1.0,1.0,0.648936170212766,1.2672413793103448,-1.0,0.0
1182,Nantes,Troyes,2-0,https://www.besoccer.com/match/nantes/troyes/2022,2022,9,ligue_1,74,66,2.0,0.0,1.0,1.0,0.7843137254901961,0.7666666666666666,0.0,1.0
1183,Lille,Olympique Marseille,2-0,https://www.besoccer.com/match/lillestrom/olympique-marsella/2022,2022,9,ligue_1,83,82,2.0,0.0,1.0,1.0,0.861111111111111,1.125,1.0,-2.0
1184,Saint-Ãtienne,Olympique Lyonnais,1-1,https://www.besoccer.com/match/saint-etienne/olympique-lyonnais/2022,2022,9,ligue_1,75,88,1.0,1.0,0.0,0.0,0.4712389380530973,0.4878048780487805,-2.0,1.0
1185,Levante,Getafe,0-0,https://www.besoccer.com/match/levante/getafe/2022,2022,9,primera_division,75,78,0.0,0.0,0.0,0.0,1.1041666666666667,0.2331081081081081,-1.0,4.0
1186,R. Sociedad,Mallorca,1-0,https://www.besoccer.com/match/real-sociedad/mallorca/2022,2022,9,primera_division,83,67,1.0,0.0,1.0,1.0,0.5521978021978022,0.6021505376344085,3.0,1.0
1187,Rayo Vallecano,Elche,2-1,https://www.besoccer.com/match/rayo-vallecano/elche/2022,2022,9,primera_division,62,65,2.0,1.0,1.0,1.0,2.411347517730497,0.4589041095890411,3.0,2.0
1188,Celta,Sevilla,0-1,https://www.besoccer.com/match/celta/sevilla/2022,2022,9,primera_division,78,88,0.0,1.0,-1.0,0.0,0.5412371134020618,0.5263157894736842,-2.0,0.0
1189,Villarreal,Osasuna,1-2,https://www.besoccer.com/match/villarreal/osasuna/2022,2022,9,primera_division,83,75,1.0,2.0,-1.0,0.0,2.011574074074074,2.374429223744292,3.0,-3.0
1190,Barcelona,Valencia,3-1,https://www.besoccer.com/match/barcelona/valencia-cf/2022,2022,9,primera_division,95,83,3.0,1.0,1.0,1.0,1.8333333333333335,1.5,3.0,0.0
1191,AlavÃ©s,Real Betis,0-1,https://www.besoccer.com/match/alaves/betis/2022,2022,9,primera_division,70,80,0.0,1.0,-1.0,0.0,0.3719512195121951,1.5592105263157894,-2.0,-1.0
1192,Espanyol,CÃ¡diz,2-0,https://www.besoccer.com/match/espanyol/cadiz/2022,2022,9,primera_division,68,71,2.0,0.0,1.0,1.0,0.7333333333333334,1.2252252252252254,1.0,0.0
1193,Real Madrid,Athletic,1-0,https://www.besoccer.com/match/real-madrid/athletic-bilbao/2022,2022,9,primera_division,94,81,1.0,0.0,1.0,1.0,2.76078431372549,0.44285714285714284,2.0,-1.0
1194,Granada,AtlÃ©tico,2-1,https://www.besoccer.com/match/granada/atletico-madrid/2022,2022,9,primera_division,75,91,2.0,1.0,1.0,1.0,0.9174311926605504,1.3260869565217392,-1.0,-2.0
1195,NAC Breda,Excelsior,4-1,https://www.besoccer.com/match/nac-breda/excelsior/2022,2022,9,eerste_divisie,59,59,4.0,1.0,1.0,1.0,1.1272727272727272,1.7119565217391306,0.0,-2.0
1196,Den Bosch,SC Telstar,0-1,https://www.besoccer.com/match/fc-den-bosch/stormvogels-telstar/2022,2022,9,eerste_divisie,47,49,0.0,1.0,-1.0,0.0,0.8347826086956521,0.5186170212765957,0.0,1.0
1197,TOP Oss,De Graafschap,0-3,https://www.besoccer.com/match/fc-oss/graafschap/2022,2022,9,eerste_divisie,47,61,0.0,3.0,-1.0,0.0,1.4259259259259258,1.4,1.0,-1.0
1198,FC Volendam,Almere City,3-2,https://www.besoccer.com/match/fc-volendam/almere-city/2022,2022,9,eerste_divisie,61,58,3.0,2.0,1.0,1.0,1.4102564102564104,1.2378048780487805,1.0,1.0
1199,Helmond Sport,Jong Ajax,3-1,https://www.besoccer.com/match/helmond-sport/jong-ajax/2022,2022,9,eerste_divisie,49,53,3.0,1.0,1.0,1.0,0.4294871794871795,1.3707865168539326,0.0,0.0
1200,Jong AZ,Dordrecht,2-1,https://www.besoccer.com/match/az-alkmaar-sub23/fc-dordrecht/2022,2022,9,eerste_divisie,47,46,2.0,1.0,1.0,1.0,0.701530612244898,0.8787128712871286,2.0,1.0
1201,Jong PSV,VVV Venlo,2-1,https://www.besoccer.com/match/jong-psv/vvv/2022,2022,9,eerste_divisie,49,55,2.0,1.0,1.0,1.0,0.875,0.6947368421052631,0.0,1.0
1202,Jong Utrecht,Emmen,0-1,https://www.besoccer.com/match/jong-utrecht/emmen/2022,2022,9,eerste_divisie,42,55,0.0,1.0,-1.0,0.0,0.9803921568627452,0.8516483516483516,1.0,-1.0
1203,MVV Maastricht,ADO Den Haag,2-6,https://www.besoccer.com/match/mvv/ado-den-haag/2022,2022,9,eerste_divisie,48,56,2.0,6.0,-1.0,0.0,1.152542372881356,1.2373737373737372,2.0,-1.0
1204,Roda JC,FC Eindhoven,2-0,https://www.besoccer.com/match/roda-jc/fc-eindhoven/2022,2022,9,eerste_divisie,53,47,2.0,0.0,1.0,1.0,0.8625,0.8673469387755102,-1.0,2.0
1205,Erzgebirge Aue,Hamburger SV,1-1,https://www.besoccer.com/match/fc-erzgebirge-aue/hamburger-sv/2022,2022,9,2_liga,53,62,1.0,1.0,0.0,0.0,0.3539325842696629,1.3291139240506329,-3.0,-1.0
1206,Werder Bremen,Heidenheim,3-0,https://www.besoccer.com/match/werder-bremen/heidenheim/2022,2022,9,2_liga,70,64,3.0,0.0,1.0,1.0,0.9036144578313253,1.277056277056277,-1.0,-1.0
1207,Holstein Kiel,Hansa Rostock,0-2,https://www.besoccer.com/match/holstein-kiel/hansa-rostock/2022,2022,9,2_liga,58,53,0.0,2.0,-1.0,0.0,0.5277777777777778,0.8088235294117647,-2.0,1.0
1208,Fortuna DÃ¼sseldorf,Paderborn,2-3,https://www.besoccer.com/match/fortuna-dusseldorf/paderborn/2022,2022,9,2_liga,59,60,2.0,3.0,-1.0,0.0,1.1788617886178863,2.0625,-1.0,-3.0
1209,Jahn Regensburg,Karlsruher SC,2-2,https://www.besoccer.com/match/ssv-jahn-regensburg/karlsruher-sc/2022,2022,9,2_liga,55,60,2.0,2.0,0.0,0.0,2.074468085106383,1.2,3.0,-1.0
1210,NÃ¼rnberg,Hannover 96,0-0,https://www.besoccer.com/match/fc-nurnberg/hannover-96/2022,2022,9,2_liga,60,55,0.0,0.0,0.0,0.0,0.859375,0.7808219178082192,3.0,1.0
1211,Schalke 04,Ingolstadt 04,3-0,https://www.besoccer.com/match/schalke-04/fc-ingolstadt-04/2022,2022,9,2_liga,61,53,3.0,0.0,1.0,1.0,1.037037037037037,0.775,-1.0,2.0
1212,FC St. Pauli,Dynamo Dresden,3-0,https://www.besoccer.com/match/st-pauli/sg-dynamo-dresden/2022,2022,9,2_liga,58,50,3.0,0.0,1.0,1.0,2.1136363636363633,0.9651898734177214,4.0,1.0
1213,Sandhausen,Darmstadt 98,1-6,https://www.besoccer.com/match/sv-sandhausen/darmstadt-98/2022,2022,9,2_liga,52,61,1.0,6.0,-1.0,0.0,0.17771084337349397,0.7529411764705882,-3.0,3.0
1214,Feyenoord,RKC Waalwijk,2-2,https://www.besoccer.com/match/feyenoord/rkc-waalwijk/2022,2022,9,eredivisie,82,56,2.0,2.0,0.0,0.0,1.6730769230769231,1.1117647058823528,4.0,2.0
1215,Heerenveen,Ajax,0-2,https://www.besoccer.com/match/heerenveen/ajax/2022,2022,9,eredivisie,71,91,0.0,2.0,-1.0,0.0,0.935344827586207,2.0444444444444443,0.0,-2.0
1216,Go Ahead Eagles,Heracles,4-2,https://www.besoccer.com/match/go-ahead-eagles/heracles/2022,2022,9,eredivisie,62,66,4.0,2.0,1.0,1.0,0.5714285714285714,0.7464788732394366,0.0,2.0
1217,Fortuna Sittard,Cambuur,1-0,https://www.besoccer.com/match/fortuna-sittard/sc-cambuur-leeuwarden/2022,2022,9,eredivisie,65,63,1.0,0.0,1.0,1.0,0.6910569105691057,1.2195121951219512,-1.0,1.0
1218,PSV,PEC Zwolle,3-1,https://www.besoccer.com/match/psv/fc-zwolle/2022,2022,9,eredivisie,86,70,3.0,1.0,1.0,1.0,1.546875,0.1891025641025641,2.0,4.0
1219,AZ Alkmaar,Utrecht,5-1,https://www.besoccer.com/match/az/fc-utrecht/2022,2022,9,eredivisie,79,78,5.0,1.0,1.0,1.0,1.2485380116959064,0.7340425531914894,1.0,-1.0
1220,NEC Nijmegen,Vitesse,0-1,https://www.besoccer.com/match/nec/vitesse/2022,2022,9,eredivisie,63,71,0.0,1.0,-1.0,0.0,0.3888888888888889,0.7352941176470588,0.0,-2.0
